MONTH,DAY_OF_WEEK,DEP_DEL15,DISTANCE_GROUP,DEP_TIME_BLK,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND
1,3,0,6,1900-1959,3,19,130,American Airlines Inc.,15000,90000,2872,2200000,10500000,0.00016,0.00035,17,John F. Kennedy International,40.64,-73.78,Phoenix Sky Harbor International,0.0,2.7,4.4,25.0,11.4
11,5,0,10,1500-1559,2,12,150,JetBlue Airways,17000,30000,1085,2100000,3500000,0.00019,0.00028,12,San Francisco International,37.62,-122.38,Seattle/Tacoma International,0.0,0.0,0.0,63.0,11.5
11,1,0,5,1800-1859,4,8,160,Delta Air Lines Inc.,13000,85000,2351,1500000,11000000,0.00018,0.0004,11,Logan International,42.36,-71.01,Miami International,0.09,0.0,0.0,39.0,7.0
3,3,0,11,1700-1759,1,11,90,SkyWest Airlines Inc.,14000,60000,1787,1700000,2800000,0.0003,0.00025,9,McCarran International,36.08,-115.15,NONE,0.0,0.0,0.0,57.0,10.9
11,1,0,9,1100-1159,3,19,160,Delta Air Lines Inc.,33000,85000,5968,3400000,11000000,0.00018,0.0004,16,Hartsfield-Jackson Atlanta International,33.64,-84.43,Chicago O'Hare International,0.0,0.0,0.0,53.0,8.3
3,3,0,10,2000-2059,4,17,150,American Airlines Inc.,30000,90000,5745,3000000,10500000,0.00016,0.00035,9,Chicago O'Hare International,41.98,-87.9,Logan International,0.0,0.0,0.0,52.0,5.4
8,5,0,4,1100-1159,2,8,180,American Airlines Inc.,13000,90000,2489,1500000,10500000,0.00016,0.00035,4,Logan International,42.36,-71.01,Logan International,0.0,0.0,0.0,64.0,6.1
5,3,0,7,0700-0759,1,8,143,Southwest Airlines Co.,14000,110000,3277,1700000,12000000,0.00012,0.0003,10,McCarran International,36.08,-115.15,NONE,0.08,0.0,0.0,65.0,11.4
12,1,1,8,0700-0759,2,8,143,Southwest Airlines Co.,27000,110000,6319,2800000,12000000,0.00012,0.0003,15,Dallas/Fort Worth International,32.9,-97.04,Phoenix Sky Harbor International,0.85,0.0,0.0,41.0,7.5
1,5,0,8,0600-0659,1,2,155,United Air Lines Inc.,24000,70000,3574,2500000,8500000,0.00017,0.00036,8,Denver International,39.86,-104.67,NONE,0.0,0.0,0.4,17.0,11.0
3,2,0,6,0800-0859,1,6,160,Delta Air Lines Inc.,15000,85000,2713,1800000,11000000,0.00018,0.0004,10,Phoenix Sky Harbor International,33.43,-112.01,NONE,0.07,0.0,0.0,46.0,14.4
11,1,0,10,1400-1459,3,10,130,American Airlines Inc.,15000,90000,2872,2200000,10500000,0.00016,0.00035,6,John F. Kennedy International,40.64,-73.78,Phoenix Sky Harbor International,0.11,0.0,0.1,19.0,8.7
6,3,0,7,1700-1759,2,18,165,Alaska Airlines Inc.,24000,25000,1277,2500000,2600000,0.00021,0.00033,10,Denver International,39.86,-104.67,Logan International,0.0,0.0,0.0,85.0,10.1
10,4,0,5,1900-1959,6,14,173,Southwest Airlines Co.,13000,110000,3043,1500000,12000000,0.00012,0.0003,5,Logan International,42.36,-71.01,Phoenix Sky Harbor International,0.0,1.1,1.6,34.0,12.6
